Code,Name,City,Slug,Lat,Long
PSR,Pescara,Pescara,psr,42.431656,14.181067
BLL,Billund,Billund,bll,55.740322,9.151778
LEJ,Leipzig/Halle,,lej,51.432447,12.241633
TLL,Tallinn,Tallinn,tll,59.413317,24.832844
PGF,Perpignan,Perpignan,pgf,42.740442,2.870667
PUY,Pula,Pula,puy,44.893533,13.922192
TLN,Toulon/Hyeres,Toulon/Hyeres,tln,43.0973,6.14603
NOC,Knock,Knock,noc,53.910297,-8.818492
TRN,Turin Caselle Airport,Turin,trn,45.200761,7.649631
DNR,Dinard/St-Malo,Dinard/St-Malo,dnr,48.587683,-2.079958
KUN,Kaunas,Kaunas,kun,54.963919,24.084778
NRN,Duesseldorf Weeze Airport,Duesseldorf,nrn,51.602222,6.141944
XCR,Paris Chalons-Vatry Airport,Paris,xcr,48.776072,4.184492
AGA,Agadir,Agadir,aga,30.381353,-9.546311
NDR,Nador,,ndr,34.9888,-3.02821
SXB,Strasbourg,Strasbourg,sxb,48.538319,7.628233
LPA,Gran Canaria,Gran Canaria,lpa,27.931886,-15.386586
KLX,Kalamata,Kalamata,klx,37.068319,22.025525
LEI,Almeria,Almeria,lei,36.843936,-2.370097
EIN,Eindhoven Airport,Eindhoven,ein,51.450139,5.374528
LDY,Derry,Derry,ldy,55.042778,-7.161111
BSL,Basel,Basel/Mulhouse,bsl,47.59,7.529167
TNG,Tangier,Tangier,tng,35.726917,-5.916889
EGC,Bergerac,Bergerac,egc,44.825279,0.518611
DLE,Dole,Dole,dle,47.039014,5.42725
TRF,,,trf,59.186703,10.258628
AOI,Ancona,Ancona,aoi,43.616389,13.362222
TMP,Tampere,Tampere,tmp,61.414147,23.604392
MJV,Murcia,Murcia,mjv,37.774972,-0.812389
DTM,Dortmund,,dtm,51.518314,7.612242
ESU,Essaouira,Essaouira,esu,31.3975,-9.681667
LCJ,Lodz,Lodz,lcj,51.721881,19.398133
FNI,Nimes,Nimes,fni,43.757444,4.416347
CUF,Cuneo,Cuneo,cuf,44.547019,7.623217
KTW,Katowice,,ktw,50.474253,19.080019
PMF,Milan Parma Apt,Milan,pmf,44.824483,10.296367
RDZ,Rodez,Rodez,rdz,44.407869,2.482672
RZE,Rzeszow,Rzeszow,rze,50.109958,22.019
PEG,Perugia,,peg,43.095906,12.513222
NCL,Newcastle,Newcastle (GB),ncl,55.0375,-1.691667
VOL,Volos,Volos,vol,39.219619,22.794339
NUE,Nuremberg,Nuremberg,nue,49.4987,11.066897
VLL,Valladolid,,vll,41.706111,-4.851944
TGD,Podgorica,Podgorica,tgd,42.359392,19.251894
BZR,Beziers,Beziers,bzr,43.323522,3.353903
LNZ,Linz Blue Danube,Linz,lnz,48.233219,14.187511
LDE,Lourdes/Tarbes,Lourdes/Tarbes,lde,43.178675,-0.006439
RNS,Rennes St Jacques Airport,Rennes,rns,48.069508,-1.734794
RJK,Rijeka,Rijeka,rjk,45.216889,14.570267
SZG,Salzburg W A Mozart,Salzburg,szg,47.793304,13.004333
LBC,Hamburg Luebeck-Blankensee Airport,Hamburg,lbc,53.805367,10.719222
PDV,Plovdiv,Plovdiv,pdv,42.067806,24.850833
MMX,Malmo Airport,Malmo,mmx,55.530193,13.371639
LPP,Lappeenranta,Lappeenranta,lpp,61.044553,28.144397
GRQ,Groningen,Groningen,grq,53.11972,6.579444
FMO,Muenster/Osnabrueck,Muenster/Osnabrueck,fmo,52.134642,7.684831
BRQ,Brno,Brno,brq,49.151269,16.694433
TFN,Tenerife Norte,,tfn,28.482653,-16.341536
VXO,Vaxjo,Vaxjo,vxo,56.929144,14.727994
OSR,Ostrava,Ostrava,osr,49.696292,18.111053
BVE,Brive-La-Gaillarde,Brive-La-Gaillarde,bve,45.150833,1.469167
CRV,Crotone,Crotone,crv,38.997225,17.080169
SFT,Skelleftea,Skelleftea,sft,64.624772,21.076892
KIX,Osaka Kansai International Airport,Osaka,kix,34.434722,135.244167
TPE,Taipei Taiwan Taoyuan International Apt,Taipei,tpe,25.077731,121.232822
MNL,Manila Ninoy Aquino International Apt,Manila,mnl,14.508647,121.019581
HKT,Phuket,Phuket,hkt,8.1132,98.316872
SGN,Ho Chi Minh City,Ho Chi Minh City,sgn,10.818797,106.651856
CGK,Jakarta Soekarno-Hatta Apt,Jakarta,cgk,-6.125567,106.655897
HGH,Hangzhou,Hangzhou,hgh,30.229503,120.434453
KUL,Kuala Lumpur International Airport,Kuala Lumpur,kul,2.745578,101.709917
HAK,Haikou,Haikou,hak,19.934856,110.458961
PNH,Phnom Penh,Phnom Penh,pnh,11.546556,104.844139
PER,Perth,Perth,per,-31.940278,115.966944
DPS,Denpasar-Bali,Denpasar-Bali,dps,-8.748169,115.167172
SUB,Surabaya,Surabaya,sub,-7.379831,112.786858
DRW,Darwin International,Darwin,drw,-12.408333,130.87266
MEL,Melbourne Airport,Melbourne (AU),mel,-37.673333,144.843333
SYD,Sydney Kingsford Smith Apt,Sydney (AU),syd,-33.946111,151.177222
KNO,Medan Kuala Namu,Medan,kno,51.3222,3.29306
